                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW                Rain    Heat    Cool    In     In    In     In     In   In Air  Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index   Bar    Rain  Rate    D-D     D-D    Temp   Hum    Dew   Heat    EMC Density  Samp   Tx   Recept  Int.
 6/30/18  6:30a   15.5   15.5   15.5    90   13.9   0.9     E   0.07   5.2     E   15.5   15.7   15.7  1020.3  0.00   0.0   0.010   0.000   26.3    86   23.8   29.3  18.37  .0720    117    1    100.0    5 
 6/30/18  6:35a   15.4   15.5   15.4    90   13.8   1.7     E   0.14   5.2     E   15.4   15.6   15.6  1020.3  0.00   0.0   0.010   0.000   26.3    86   23.8   29.3  18.37  .0720    117    1    100.0    5 
 6/30/18  6:40a   15.4   15.4   15.4    91   13.9   0.9     E   0.07   4.3     E   15.4   15.6   15.6  1020.4  0.00   0.0   0.010   0.000   26.3    86   23.8   29.3  18.37  .0720    117    1    100.0    5 
 6/30/18  6:45a   15.3   15.4   15.3    91   13.9   2.6     E   0.22   7.0     E   15.3   15.5   15.5  1020.4  0.00   0.0   0.010   0.000   26.3    86   23.8   29.3  18.37  .0720    117    1    100.0    5 
 6/30/18  6:50a   15.3   15.3   15.3    91   13.9   3.5     E   0.29   5.2     E   15.3   15.5   15.5  1020.3  0.00   0.0   0.010   0.000   26.3    86   23.8   29.3  18.37  .0720    117    1    100.0    5 
 6/30/18  6:55a   15.3   15.3   15.3    91   13.9   2.6     E   0.22   5.2     E   15.3   15.5   15.5  1020.3  0.00   0.0   0.010   0.000   26.3    86   23.8   29.3  18.37  .0720    117    1    100.0    5 
 6/30/18  7:00a   15.3   15.3   15.3    91   13.9   1.7     E   0.14   7.0     E   15.3   15.5   15.5  1020.3  0.00   0.0   0.010   0.000   26.3    86   23.8   29.3  18.37  .0720    117    1    100.0    5 
 6/30/18  7:05a   15.3   15.3   15.3    91   13.9   1.7     E   0.14   5.2     E   15.3   15.5   15.5  1020.3  0.00   0.0   0.010   0.000   26.3    86   23.8   29.3  18.37  .0720    117    1    100.0    5 
 6/30/18  7:10a   15.3   15.3   15.3    91   13.8   2.6     E   0.22   7.8     E   15.3   15.4   15.4  1020.3  0.00   0.0   0.011   0.000   26.3    86   23.8   29.3  18.37  .0720    117    1    100.0    5 
 6/30/18  7:15a   15.3   15.3   15.3    91   13.8   4.3     E   0.36   8.7     E   15.2   15.4   15.4  1020.3  0.00   0.0   0.011   0.000   26.3    86   23.8   29.3  18.37  .0720    117    1    100.0    5 
 6/30/18  7:20a   15.3   15.3   15.3    91   13.9   1.7     E   0.14   5.2     E   15.3   15.5   15.5  1020.3  0.00   0.0   0.010   0.000   26.3    86   23.8   29.3  18.37  .0720    117    1    100.0    5 
 6/30/18  7:25a   15.3   15.4   15.3    91   13.9   1.7     E   0.14   7.8     E   15.3   15.5   15.5  1020.3  0.00   0.0   0.010   0.000   26.4    86   23.9   29.5  18.37  .0720    117    1    100.0    5 
 6/30/18  7:30a   15.4   15.4   15.3    91   13.9   3.5     E   0.29   7.0     E   15.4   15.6   15.6  1020.2  0.00   0.0   0.010   0.000   26.4    86   23.9   29.5  18.37  .0719    117    1    100.0    5 
 6/30/18  7:35a   15.4   15.4   15.4    91   13.9   4.3     E   0.36   8.7     E   15.3   15.6   15.5  1020.2  0.00   0.0   0.010   0.000   26.4    86   23.9   29.5  18.37  .0719    118    1    100.0    5 
 6/30/18  7:40a   15.4   15.4   15.4    91   13.9   4.3   ESE   0.36   7.8   ESE   15.3   15.6   15.5  1020.1  0.00   0.0   0.010   0.000   26.4    86   23.9   29.5  18.37  .0719    117    1    100.0    5 
 6/30/18  7:45a   15.4   15.4   15.4    91   13.9   3.5   ESE   0.29   9.6   ESE   15.4   15.6   15.6  1020.1  0.00   0.0   0.010   0.000   26.4    86   23.9   29.5  18.37  .0719    117    1    100.0    5 
 6/30/18  7:50a   15.3   15.4   15.3    91   13.9   5.2     E   0.43  10.4   ESE   15.1   15.5   15.2  1020.1  0.00   0.0   0.010   0.000   26.4    86   23.9   29.5  18.37  .0719    117    1    100.0    5 
 6/30/18  7:55a   15.3   15.3   15.3    91   13.9   4.3     E   0.36   8.7     E   15.3   15.5   15.4  1020.2  0.00   0.0   0.010   0.000   26.4    86   23.9   29.5  18.37  .0719    117    1    100.0    5 
 6/30/18  8:00a   15.3   15.3   15.3    91   13.9   4.3   ESE   0.36   7.8     E   15.3   15.5   15.4  1020.0  0.00   0.0   0.010   0.000   26.4    86   23.9   29.5  18.37  .0719    117    1    100.0    5 
 6/30/18  8:05a   15.3   15.4   15.3    90   13.7   5.2     E   0.43  10.4     E   15.1   15.5   15.2  1020.1  0.00   0.0   0.010   0.000   26.4    86   23.9   29.5  18.37  .0719    117    1    100.0    5 
 6/30/18  8:10a   15.3   15.4   15.3    91   13.9   4.3     E   0.36   8.7     E   15.3   15.5   15.4  1020.1  0.00   0.0   0.010   0.000   26.4    86   23.9   29.5  18.37  .0719    117    1    100.0    5 
 6/30/18  8:15a   15.4   15.4   15.3    91   13.9   5.2     E   0.43   8.7     E   15.1   15.6   15.3  1020.0  0.00   0.0   0.010   0.000   26.4    86   23.9   29.5  18.37  .0719    117    2    100.0    5 
 6/30/18  8:20a   15.4   15.4   15.4    90   13.8   5.2     E   0.43   8.7     E   15.1   15.6   15.3  1020.0  0.20   0.0   0.010   0.000   26.4    86   23.9   29.5  18.37  .0719    117    1    100.0    5 
 6/30/18  8:25a   15.2   15.3   15.2    90   13.6   5.2   ESE   0.43   8.7     E   14.9   15.3   15.1  1020.1  0.00   0.0   0.011   0.000   26.4    86   23.9   29.5  18.37  .0719    117    1    100.0    5 
 6/30/18  8:30a   15.1   15.2   15.1    90   13.4   7.0     E   0.58  10.4     E   14.1   15.2   14.2  1020.2  0.00   0.0   0.011   0.000   26.4    86   23.9   29.5  18.37  .0719    117    1    100.0    5 
 6/30/18  8:35a   15.1   15.1   15.1    92   13.8   6.1     E   0.51   9.6     E   14.5   15.2   14.7  1020.2  0.00   0.0   0.011   0.000   26.4    86   23.9   29.5  18.37  .0719    117    1    100.0    5 
 6/30/18  8:40a   15.1   15.1   15.0    90   13.4   6.1     E   0.51   9.6     E   14.5   15.2   14.6  1020.2  0.00   0.0   0.011   0.000   26.4    86   23.9   29.5  18.37  .0719    117    1    100.0    5 
 6/30/18  8:45a   15.0   15.1   15.0    90   13.4   5.2     E   0.43   8.7     E   14.7   15.1   14.8  1020.3  0.00   0.0   0.012   0.000   26.4    86   23.9   29.5  18.37  .0719    117    1    100.0    5 
 6/30/18  8:50a   15.1   15.1   15.0    90   13.4   3.5     E   0.29   7.8     E   15.1   15.2   15.2  1020.3  0.00   0.0   0.011   0.000   26.4    86   23.9   29.5  18.37  .0719    118    1    100.0    5 
 6/30/18  8:55a   15.1   15.1   15.1    90   13.5   2.6     E   0.22   7.8     E   15.1   15.2   15.2  1020.3  0.00   0.0   0.011   0.000   26.4    86   23.9   29.5  18.37  .0720    117    1    100.0    5 
 6/30/18  9:00a   15.2   15.2   15.1    90   13.5   6.1     E   0.51   9.6   ENE   14.7   15.3   14.8  1020.3  0.00   0.0   0.011   0.000   26.4    86   23.9   29.5  18.37  .0720    117    1    100.0    5 
 6/30/18  9:05a   15.2   15.2   15.2    90   13.5   6.1     E   0.51   8.7     E   14.7   15.3   14.8  1020.2  0.20   0.0   0.011   0.000   26.4    86   23.9   29.5  18.37  .0719    117    1    100.0    5 
 6/30/18  9:10a   15.2   15.2   15.2    91   13.8   6.1     E   0.51   8.7     E   14.7   15.4   14.9  1020.3  0.00   0.0   0.011   0.000   26.4    86   23.9   29.5  18.37  .0720    117    1    100.0    5 
 6/30/18  9:15a   15.2   15.3   15.2    90   13.6   6.1     E   0.51   8.7   ENE   14.7   15.3   14.8  1020.2  0.00   0.0   0.011   0.000   26.4    86   23.9   29.5  18.37  .0719    117    1    100.0    5 
 6/30/18  9:20a   15.1   15.2   15.1    90   13.5   6.1     E   0.51   8.7     E   14.6   15.2   14.7  1020.3  0.00   0.0   0.011   0.000   26.4    86   23.9   29.5  18.37  .0719    117    1    100.0    5 
 6/30/18  9:25a   15.1   15.1   15.1    91   13.7   5.2     E   0.43   8.7   ENE   14.8   15.3   14.9  1020.4  0.00   0.0   0.011   0.000   26.4    86   23.9   29.5  18.37  .0720    117    1    100.0    5 
 6/30/18  9:30a   15.1   15.2   15.1    91   13.7   4.3     E   0.36   8.7     E   15.0   15.3   15.2  1020.4  0.00   0.0   0.011   0.000   26.4    86   23.9   29.5  18.37  .0720    117    1    100.0    5 
 6/30/18  9:35a   15.1   15.1   15.1    90   13.4   6.1     E   0.51   9.6     E   14.5   15.2   14.6  1020.4  0.20   0.0   0.011   0.000   26.4    87   24.1   29.6  18.77  .0719    117    1    100.0    5 
 6/30/18  9:40a   15.0   15.1   15.0    91   13.5   2.6     E   0.22   5.2     E   15.0   15.1   15.1  1020.5  0.00   0.0   0.012   0.000   26.3    87   24.0   29.4  18.79  .0720    117    1    100.0    5 
 6/30/18  9:45a   15.1   15.1   15.0    91   13.7   3.5     E   0.29   8.7     E   15.1   15.3   15.3  1020.4  0.00   0.0   0.011   0.000   26.3    87   24.0   29.4  18.79  .0720    117    1    100.0    5 
 6/30/18  9:50a   15.0   15.1   15.0    91   13.5   5.2     E   0.43   8.7     E   14.7   15.1   14.8  1020.3  0.20   0.8   0.012   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
